  0%|                                                                                       | 0/918 [00:00<?, ?it/s]/root/anaconda3/envs/Mixture-of-Debater/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/root/anaconda3/envs/Mixture-of-Debater/lib/python3.10/site-packages/torch/utils/checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/root/anaconda3/envs/Mixture-of-Debater/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1947: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  overflow_gpu = get_accelerator().ByteTensor([overflow])
                                                                                                                    
{'loss': 1.9295, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.0}
{'loss': 1.9406, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.0}
{'loss': 2.0657, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.0}
{'loss': 1.9467, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.0}
{'loss': 1.9864, 'learning_rate': 3.571428571428572e-05, 'epoch': 0.01}
{'loss': 1.9444, 'learning_rate': 4.2857142857142856e-05, 'epoch': 0.01}
{'loss': 1.9182, 'learning_rate': 5e-05, 'epoch': 0.01}
{'loss': 1.8995, 'learning_rate': 5.714285714285714e-05, 'epoch': 0.01}
{'loss': 1.8962, 'learning_rate': 6.428571428571429e-05, 'epoch': 0.01}
{'loss': 1.8962, 'learning_rate': 7.142857142857143e-05, 'epoch': 0.01}
{'loss': 1.8789, 'learning_rate': 7.857142857142858e-05, 'epoch': 0.01}
{'loss': 1.8933, 'learning_rate': 8.571428571428571e-05, 'epoch': 0.01}
{'loss': 1.9937, 'learning_rate': 9.285714285714286e-05, 'epoch': 0.01}
{'loss': 1.8731, 'learning_rate': 0.0001, 'epoch': 0.02}
{'loss': 1.9429, 'learning_rate': 0.00010714285714285715, 'epoch': 0.02}
{'loss': 1.8528, 'learning_rate': 0.00011428571428571428, 'epoch': 0.02}
{'loss': 1.9093, 'learning_rate': 0.00012142857142857143, 'epoch': 0.02}
{'loss': 1.9796, 'learning_rate': 0.00012857142857142858, 'epoch': 0.02}
{'loss': 1.9031, 'learning_rate': 0.00013571428571428572, 'epoch': 0.02}
{'loss': 1.8875, 'learning_rate': 0.00014285714285714287, 'epoch': 0.02}
{'loss': 1.8302, 'learning_rate': 0.00015000000000000001, 'epoch': 0.02}
{'loss': 1.9066, 'learning_rate': 0.00015714285714285716, 'epoch': 0.02}
{'loss': 1.8364, 'learning_rate': 0.00016428571428571428, 'epoch': 0.03}
{'loss': 1.9831, 'learning_rate': 0.00017142857142857143, 'epoch': 0.03}
{'loss': 1.7831, 'learning_rate': 0.0001785714285714286, 'epoch': 0.03}
{'loss': 1.8842, 'learning_rate': 0.00018571428571428572, 'epoch': 0.03}
{'loss': 1.8862, 'learning_rate': 0.00019285714285714286, 'epoch': 0.03}
{'loss': 1.8155, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.8419, 'learning_rate': 0.0001999993769982229, 'epoch': 0.03}
{'loss': 1.7354, 'learning_rate': 0.00019999750800065415, 'epoch': 0.03}
{'loss': 1.8773, 'learning_rate': 0.0001999943930305816, 'epoch': 0.03}
{'loss': 1.8994, 'learning_rate': 0.00019999003212681782, 'epoch': 0.03}
{'loss': 1.6819, 'learning_rate': 0.00019998442534369985, 'epoch': 0.04}
{'loss': 1.7128, 'learning_rate': 0.00019997757275108847, 'epoch': 0.04}
{'loss': 1.7226, 'learning_rate': 0.0001999694744343671, 'epoch': 0.04}
{'loss': 1.7553, 'learning_rate': 0.00019996013049444118, 'epoch': 0.04}
{'loss': 1.7311, 'learning_rate': 0.00019994954104773647, 'epoch': 0.04}
{'loss': 1.7455, 'learning_rate': 0.00019993770622619782, 'epoch': 0.04}
{'loss': 1.734, 'learning_rate': 0.00019992462617728763, 'epoch': 0.04}
{'loss': 1.6169, 'learning_rate': 0.00019991030106398364, 'epoch': 0.04}
{'loss': 1.6625, 'learning_rate': 0.0001998947310647774, 'epoch': 0.04}
{'loss': 1.6417, 'learning_rate': 0.00019987791637367158, 'epoch': 0.05}
{'loss': 1.6397, 'learning_rate': 0.00019985985720017785, 'epoch': 0.05}
{'loss': 1.5996, 'learning_rate': 0.00019984055376931413, 'epoch': 0.05}
{'loss': 1.5829, 'learning_rate': 0.0001998200063216019, 'epoch': 0.05}
{'loss': 1.5698, 'learning_rate': 0.00019979821511306308, 'epoch': 0.05}
{'loss': 1.565, 'learning_rate': 0.00019977518041521683, 'epoch': 0.05}
{'loss': 1.5032, 'learning_rate': 0.00019975090251507638, 'epoch': 0.05}
{'loss': 1.3822, 'learning_rate': 0.00019972538171514524, 'epoch': 0.05}
{'loss': 1.5031, 'learning_rate': 0.0001996986183334134, 'epoch': 0.05}
{'loss': 1.4351, 'learning_rate': 0.00019967061270335362, 'epoch': 0.06}
{'loss': 1.552, 'learning_rate': 0.00019964136517391706, 'epoch': 0.06}
{'loss': 1.3911, 'learning_rate': 0.0001996108761095289, 'epoch': 0.06}
{'loss': 1.3912, 'learning_rate': 0.00019957914589008405, 'epoch': 0.06}
{'loss': 1.3932, 'learning_rate': 0.00019954617491094208, 'epoch': 0.06}
{'loss': 1.4856, 'learning_rate': 0.00019951196358292266, 'epoch': 0.06}
{'loss': 1.313, 'learning_rate': 0.0001994765123323001, 'epoch': 0.06}
{'loss': 1.2641, 'learning_rate': 0.0001994398216007982, 'epoch': 0.06}
{'loss': 1.3531, 'learning_rate': 0.00019940189184558486, 'epoch': 0.06}
{'loss': 1.2747, 'learning_rate': 0.00019936272353926615, 'epoch': 0.07}
{'loss': 1.2826, 'learning_rate': 0.00019932231716988054, 'epoch': 0.07}
{'loss': 1.2826, 'learning_rate': 0.00019928067324089286, 'epoch': 0.07}
{'loss': 1.3209, 'learning_rate': 0.0001992377922711879, 'epoch': 0.07}
{'loss': 1.2125, 'learning_rate': 0.00019919367479506413, 'epoch': 0.07}
{'loss': 1.2776, 'learning_rate': 0.0001991483213622268, 'epoch': 0.07}
{'loss': 1.2423, 'learning_rate': 0.00019910173253778136, 'epoch': 0.07}
{'loss': 1.2351, 'learning_rate': 0.00019905390890222617, 'epoch': 0.07}
{'loss': 1.2317, 'learning_rate': 0.00019900485105144543, 'epoch': 0.07}
{'loss': 1.1977, 'learning_rate': 0.00019895455959670176, 'epoch': 0.08}
{'loss': 1.1787, 'learning_rate': 0.00019890303516462843, 'epoch': 0.08}
{'loss': 1.2383, 'learning_rate': 0.00019885027839722165, 'epoch': 0.08}
{'loss': 1.1176, 'learning_rate': 0.00019879628995183272, 'epoch': 0.08}
{'loss': 1.1634, 'learning_rate': 0.00019874107050115954, 'epoch': 0.08}
{'loss': 1.1399, 'learning_rate': 0.00019868462073323838, 'epoch': 0.08}
{'loss': 1.178, 'learning_rate': 0.00019862694135143545, 'epoch': 0.08}
{'loss': 1.0622, 'learning_rate': 0.00019856803307443781, 'epoch': 0.08}
{'loss': 1.1413, 'learning_rate': 0.00019850789663624472, 'epoch': 0.08}
{'loss': 1.0981, 'learning_rate': 0.00019844653278615833, 'epoch': 0.08}
{'loss': 1.0147, 'learning_rate': 0.0001983839422887744, 'epoch': 0.09}
{'loss': 1.1613, 'learning_rate': 0.0001983201259239728, 'epoch': 0.09}
{'loss': 1.0248, 'learning_rate': 0.00019825508448690764, 'epoch': 0.09}
{'loss': 1.11, 'learning_rate': 0.00019818881878799752, 'epoch': 0.09}
{'loss': 1.087, 'learning_rate': 0.00019812132965291545, 'epoch': 0.09}
{'loss': 0.969, 'learning_rate': 0.00019805261792257847, 'epoch': 0.09}
{'loss': 0.9706, 'learning_rate': 0.00019798268445313713, 'epoch': 0.09}
{'loss': 1.0666, 'learning_rate': 0.00019791153011596496, 'epoch': 0.09}
{'loss': 0.9502, 'learning_rate': 0.00019783915579764754, 'epoch': 0.09}
{'loss': 0.9066, 'learning_rate': 0.00019776556239997146, 'epoch': 0.1}
{'loss': 1.112, 'learning_rate': 0.00019769075083991302, 'epoch': 0.1}
{'loss': 1.047, 'learning_rate': 0.000197614722049627, 'epoch': 0.1}
{'loss': 1.0234, 'learning_rate': 0.00019753747697643474, 'epoch': 0.1}
{'loss': 0.9216, 'learning_rate': 0.00019745901658281266, 'epoch': 0.1}
{'loss': 0.9839, 'learning_rate': 0.00019737934184638006, 'epoch': 0.1}
{'loss': 1.0955, 'learning_rate': 0.00019729845375988694, 'epoch': 0.1}
{'loss': 0.9423, 'learning_rate': 0.00019721635333120173, 'epoch': 0.1}
{'loss': 0.9656, 'learning_rate': 0.00019713304158329873, 'epoch': 0.1}
